rufwar1,Rufous-faced Warbler
blfwar1,Black-faced Warbler
yebwar1,Yellow-bellied Warbler
watgua1,guan aburri
spchon1,Spiny-cheeked Honeyeater
pebfin1,Peg-billed Finch
lesred1,čečetka tmavá
comred,čečetka zimní
hoared,čečetka bělavá
riflem1,pokřovník zelený
inltho1,Inland Thornbill
yertho1,Yellow-rumped Thornbill
tastho1,Tasmanian Thornbill
westho1,Western Thornbill
strtho1,Striated Thornbill
yeltho1,Yellow Thornbill
brotho1,Brown Thornbill
burtho1,Buff-rumped Thornbill
chrtho1,Chestnut-rumped Thornbill
wesspi1,Western Spinebill
easspi1,Eastern Spinebill
shikra1,krahujec šikra
bichaw1,jestřáb neotropický
colspa1,krahujec rudolímcový
coohaw,jestřáb americký
brogos1,jestřáb australský
norgos,jestřáb lesní
japspa1,krahujec menší
vargos1,jestřáb rezavobřichý
blagos1,jestřáb černohřbetý
litspa1,krahujec nejmenší
eurspa1,krahujec obecný
grygos1,jestřáb proměnlivý
gybhaw1,jestřáb jihoamerický
grfhaw1,krahujec čínský
shshaw,krahujec americký
tinhaw1,Tiny Hawk
afrgos1,jestřáb tachiro
sptgos1,krahujec pralesní
cregos1,krahulák chocholatý
besra1,krahujec besra
runhor1,zoborožec rezavý
damroc1,Rockrunner
vibsta3,majna barmská
cremyn,majna chocholatá
junmyn1,majna hnědá
banmyn1,majna břehová
whvmyn1,Great Myna
whvmyn,majna jávská
commyn,majna obecná
t-11145339,Northern Cricket Frog
t-11164140,Southern Cricket Frog
pilgra1,Pink-legged Graveteiro
padwar1,rákosník plavý
grrwar1,rákosník velký
aurwar1,Australian Reed Warbler
afrwar1,African Reed Warbler
bbrwar1,rákosník černobrvý
blwwar1,Blunt-winged Warbler
blrwar1,rákosník pokřovní
leswar1,Lesser Swamp Warbler
barwar2,rákosník irácký
mouwar1,rákosník tamaryškový
maswar1,Madagascar Swamp Warbler
orrwar1,rákosník východní
aquwar1,rákosník ostřicový
marwar3,rákosník zpěvný
grswar2,Greater Swamp Warbler
sedwar1,rákosník proužkovaný
eurwar1,rákosník obecný
clrwar1,rákosník hlučnohlasý
manrew1,Manchurian Reed Warbler
ocetap1,Ocellated Tapaculo
ruckin1,ledňáček rezavolímcový
spokin1,ledňáček skvrnitý
grbkin1,ledňáček modrohlavý
blwmin1,Blue-winged Minla
rufbar1,Rusty-fronted Barwing
hotbar1,Hoary-throated Barwing
spebar1,Spectacled Barwing
chtmin1,Chestnut-tailed Minla
sttbar1,Streak-throated Barwing
comsan,pisík obecný
sposan,pisík americký
afrjac1,ostnák africký
spehum1,sylfa mozaiková
clagre,potápka bělolící
wesgre,potápka západní
lottit1,mlynařík dlouhoocasý
blttit2,Black-throated Tit
lottit5,Silver-throated Tit
bkbtit3,Black-browed Tit
whttit1,White-throated Tit
whtior1,White-tailed Iora
comior1,Common Iora
greior2,Green Iora
nswowl,sýc americký
borowl,sýc rousný
bufowl1,sýc plavočelý
uswowl1,sýc středoamerický
auonig1,lelčík australský
cinvul1,sup hnědý
marswi,salangana marianská
ednswi1,salangana ostrovní
blnswi1,salangana černohnízdá
andswi1,rorýs andský
whtswi1,rorýs horský
whtswi,rorýs bělohrdlý
leaauk,alkounek nejmenší
whiauk,alkounek drobný
fotsun1,Fork-tailed Sunbird
gousun1,Mrs. Gould's Sunbird
fitsun1,Fire-tailed Sunbird
grtsun1,Green-tailed Sunbird
bltsun1,Black-throated Sunbird
eacsun1,Crimson Sunbird
temsun1,Temminck's Sunbird
wecsun1,Vigors's Sunbird
gyhlov1,agapornis šedohlavý
fislov1,agapornis Fischerův
yeclov,agapornis škraboškový
peflov,agapornis růžovohrdlý
blwlov1,agapornis etiopský
bawcow4,Grayish Baywing
rewbla,vlhovec červenokřídlý
tribla,Tricolored Blackbird
