rufwar1,Rostwangen-Dickichtsänger
blfwar1,Schieferkopf-Dickichtsänger
yebwar1,Bambusdickichtsänger
watgua1,Lappenguan
spchon1,Braunkehl-Honigfresser
pebfin1,Vulkanammertangare
lesred1,Alpenbirkenzeisig
comred,Taigabirkenzeisig
hoared,Polarbirkenzeisig
riflem1,Grünstummelschwanz
inltho1,Stelzschwanz-Dornschnabel
yertho1,Gelbbürzel-Dornschnabel
tastho1,Tasmandornschnabel
westho1,Walddornschnabel
strtho1,Stricheldornschnabel
yeltho1,Gelbbauch-Dornschnabel
brotho1,Roststirn-Dornschnabel
burtho1,Goldhähnchen-Dornschnabel
chrtho1,Braunbürzel-Dornschnabel
wesspi1,Buntkopf-Honigfresser
easspi1,Rotnacken-Honigfresser
shikra1,Schikrasperber
bichaw1,Zweifarbhabicht
colspa1,Halsringsperber
coohaw,Rundschwanzhabicht
brogos1,Bänderhabicht
norgos,Habicht
japspa1,Trillersperber
vargos1,Inselhabicht
blagos1,Dominohabicht
litspa1,Zwergsperber
eurspa1,Sperber
grygos1,Grauhabicht
gybhaw1,Graubauchhabicht
grfhaw1,Froschsperber
shshaw,Eckschwanzsperber
tinhaw1,Tiny Hawk
afrgos1,Afrikahabicht
sptgos1,Fleckschwanzsperber
cregos1,Schopfhabicht
besra1,Besrasperber
runhor1,Nepalhornvogel
damroc1,Klippensänger
vibsta3,Burmamaina
cremyn,Haubenmaina
junmyn1,Dschungelmaina
banmyn1,Ufermaina
whvmyn1,Riesenmaina
whvmyn,Javamaina
commyn,Hirtenmaina
t-11145339,Northern Cricket Frog
t-11164140,Southern Cricket Frog
pilgra1,Plantagenschlüpfer
padwar1,Feldrohrsänger
grrwar1,Drosselrohrsänger
aurwar1,Australrohrsänger
afrwar1,African Reed Warbler
bbrwar1,Brauenrohrsänger
blwwar1,Strauchrohrsänger
blrwar1,Buschrohrsänger
leswar1,Kaprohrsänger
barwar2,Basrarohrsänger
mouwar1,Mariskenrohrsänger
maswar1,Madagaskarrohrsänger
orrwar1,Chinarohrsänger
aquwar1,Seggenrohrsänger
marwar3,Sumpfrohrsänger
grswar2,Papyrusrohrsänger
sedwar1,Schilfrohrsänger
eurwar1,Teichrohrsänger
clrwar1,Stentorrohrsänger
manrew1,Mandschurenrohrsänger
ocetap1,Perlmanteltapaculo
ruckin1,Malaienliest
spokin1,Tropfenliest
grbkin1,Einsiedlerliest
blwmin1,Blauflügelsiva
rufbar1,Roststirn-Meisenhäherling
hotbar1,Nepalmeisenhäherling
spebar1,Brillenmeisenhäherling
chtmin1,Bändersiva
sttbar1,Waldenmeisenhäherling
comsan,Flussuferläufer
sposan,Drosseluferläufer
afrjac1,Blaustirn-Blatthühnchen
spehum1,Schwarzohrkolibri
clagre,Clarktaucher
wesgre,Renntaucher
lottit1,Schwanzmeise
blttit2,Schwarzkehl-Schwanzmeise
lottit5,Silberkehl-Schwanzmeise
bkbtit3,Rostwangen-Schwanzmeise
whttit1,Weißkehl-Schwanzmeise
whtior1,Schwarzkappeniora
comior1,Garteniora
greior2,Smaragdiora
nswowl,Sägekauz
borowl,Raufußkauz
bufowl1,Blassstirnkauz
uswowl1,Ridgwaykauz
auonig1,Baumhöhlenschwalm
cinvul1,Mönchsgeier
marswi,Marianensalangane
ednswi1,Weißnestsalangane
blnswi1,Schwarznestsalangane
andswi1,Andensegler
whtswi1,Bergsegler
whtswi,Weißbrustsegler
leaauk,Zwergalk
whiauk,Bartalk
fotsun1,Hainannektarvogel
gousun1,Gouldnektarvogel
fitsun1,Feuerschwanz-Nektarvogel
grtsun1,Grünschwanz-Nektarvogel
bltsun1,Schwarzkehl-Nektarvogel
eacsun1,Karmesinnektarvogel
temsun1,Temmincknektarvogel
wecsun1,Graubauch-Nektarvogel
gyhlov1,Grauköpfchen
fislov1,Pfirsichköpfchen
yeclov,Schwarzköpfchen
peflov,Rosenköpfchen
blwlov1,Tarantapapagei
bawcow4,Graustärling
rewbla,Rotflügelstärling
tribla,Dreifarbenstärling
unibla2,Einfarbstärling
yewbla2,Goldschulterstärling
paebla2,Gelbaugenstärling
vitsyl1,Langschwanzsylphe
lotsyl1,Himmelssylphe
bkbsht1,Schwarzschnabel-Hakentyrann
chcsta1,Violettrückenstar
dausta1,Mongolenstar
grecat1,Grünlaubenvogel
spocat2,Tüpfellaubenvogel
oaxspa1,Oaxacaammer
russpa1,Rostrückenammer
rucspa,Rostscheitelammer
manduc,Mandarinente
wooduc,Brautente
goeant1,Goeldiameisenvogel
whsant1,Weißschulter-Ameisenvogel
grhlar1,Wüstenläuferlerche
skylar,Feldlerche
orisky1,Orientfeldlerche
lstlar2,Salzlerche
tstlar1,Turkestanlerche
sanlar1,Uferlerche
mstlar1,Stummellerche
sstlar1,Halsfleckenlerche
razorb,Tordalk
comkin1,Eisvogel
blekin1,Menintingeisvogel
broful1,Braunschwanz-Zweigdrossling
gycful4,Yunnan-Zweigdrossling
gycful5,Huetzweigdrossling
gycful1,Grauwangen-Zweigdrossling
nepful1,Nepalzweigdrossling
mouful1,Malaienzweigdrossling
brcful1,Graukopf-Zweigdrossling
javful1,Rotrücken-Zweigdrossling
runwhi1,Oliv-Haubendickkopf
barpar2,Felsenhuhn
chukar,Chukarhuhn
rocpar2,Steinhuhn
relpar1,Rothuhn
ausbrt1,Australbuschhuhn
ficale2,Kastanienbraunschwanz
ficale3,Diadembraunschwanz
yefpar5,Goldbauchamazone
aukpar1,Königssittich
scbthr,Schuppenspottdrossel
t-11840984,Allard's Ground Cricket
t-11843287,Tinkling Ground Cricket
t-11855914,Walker's Ground Cricket
finbul1,Finsch's Bulbul
whtbul1,Weißkehlbülbül
ochbul2,Ockerbauchbülbül
putbul1,Braunhaubenbülbül
yebbul2,Schwefelbülbül
gycbul2,Grauwangenbülbül
tahswa2,Fuchsschwalbe
