rufwar1,Mosquitero Carirrufo
blfwar1,Mosquitero Carinegro
yebwar1,Mosquitero Cejiblanco
watgua1,Pava Aburria
spchon1,Mielero Golicanelo
pebfin1,Yal Costarricense
lesred1,Pardillo Alpino
comred,Pardillo Norteño
hoared,Pardillo Ártico
riflem1,Acantisita Verdoso
inltho1,Acantiza Apical
yertho1,Acantiza Culigualda
tastho1,Acantiza de Tasmania
westho1,Acantiza Sencilla
strtho1,Acantiza Estriada
yeltho1,Acantiza Enana
brotho1,Acantiza Parda
burtho1,Acantiza Reguloide
chrtho1,Acantiza Culirroja
wesspi1,Picoespina Occidental
easspi1,Picoespina Oriental
shikra1,Gavilán Chikra
bichaw1,Gavilán Bicolor
colspa1,Gavilán Acollarado
coohaw,Gavilán de Cooper
brogos1,Azor Australiano
norgos,Azor Euroasiático
japspa1,Gavilán Japonés
vargos1,Azor Variable
blagos1,Azor Blanquinegro
litspa1,Gavilán Chico
eurspa1,Gavilán Común
grygos1,Azor Gris
gybhaw1,Azor Ventrigrís
grfhaw1,Gavilán Ranero
shshaw,Gavilán Americano
tinhaw1,Tiny Hawk
afrgos1,Azor Tachiro
sptgos1,Gavilán Colipinto
cregos1,Azor Moñudo
besra1,Gavilán Besra
runhor1,Cálao del Nepal
damroc1,Saltarrocas de Damara
vibsta3,Miná Birmano
cremyn,Miná Crestado
junmyn1,Miná de la Jungla
banmyn1,Miná Ribereño
whvmyn1,Miná Grande
whvmyn,Miná de Java
commyn,Miná Común
t-11145339,Northern Cricket Frog
t-11164140,Southern Cricket Frog
pilgra1,Graveteiro
padwar1,Carricero Agrícola
grrwar1,Carricero Tordal
aurwar1,Carricero Australiano
afrwar1,African Reed Warbler
bbrwar1,Carricerín Cejinegro
blwwar1,Carricero de Swinhoe
blrwar1,Carricero de Blyth
leswar1,Carricero Picofino
barwar2,Carricero de Basora
mouwar1,Carricerín Real
maswar1,Carricero Malgache
orrwar1,Carricero Oriental
aquwar1,Carricerín Cejudo
marwar3,Carricero Políglota
grswar2,Carricero Rufo
sedwar1,Carricerín Común
eurwar1,Carricero Común
clrwar1,Carricero Estentóreo
manrew1,Carricerín Manchú
ocetap1,Tapaculo Ocelado
ruckin1,Alción Malayo
spokin1,Alción Moteado
grbkin1,Alción Monje
blwmin1,Siva Aliazul
rufbar1,Actinodura de Egerton
hotbar1,Actinodura Nepalesa
spebar1,Actinodura de Ramsay
chtmin1,Minla Colicastaña
sttbar1,Actinodura de Yunnan
comsan,Andarríos Chico
sposan,Andarríos Maculado
afrjac1,Jacana Africana
spehum1,Colibrí Jaspeado
clagre,Achichilique de Clark
wesgre,Achichilique Común
lottit1,Mito Común
blttit2,Mito Gorjinegro
lottit5,Mito Gorjigrís
bkbtit3,Mito Cejinegro
whttit1,Mito Gorjiblanco
whtior1,Iora Coliblanca
comior1,Iora Común
greior2,Iora Verde
nswowl,Mochuelo Cabezón
borowl,Mochuelo Boreal
bufowl1,Mochuelo Canela
uswowl1,Mochuelo Moreno
auonig1,Egotelo Australiano
cinvul1,Buitre Negro
marswi,Salangana de Guam
ednswi1,Salangana Nidoblanco
blnswi1,Salangana Nidonegro
andswi1,Vencejo Andino
whtswi1,Vencejo Montañés
whtswi,Vencejo Gorjiblanco
leaauk,Mérgulo Mínimo
whiauk,Mérgulo Bigotudo
fotsun1,Suimanga de Christina
gousun1,Suimanga de Gould
fitsun1,Suimanga Colafuego
grtsun1,Suimanga Coliverde
bltsun1,Suimanga Gorjinegro
eacsun1,Suimanga Siparaja
temsun1,Suimanga de Temminck
wecsun1,Suimanga de Vigors
gyhlov1,Inseparable Malgache
fislov1,Inseparable de Fischer
yeclov,Inseparable Cabecinegro
peflov,Inseparable de Namibia
blwlov1,Inseparable Abisinio
bawcow4,Tordo Músico
rewbla,Sargento Alirrojo
tribla,Sargento Tricolor
unibla2,Varillero Negro
yewbla2,Varillero Aliamarillo
