rufwar1,Bouscarle à moustaches
blfwar1,Bouscarle à face noire
yebwar1,Bouscarle à sourcils blancs
watgua1,Pénélope aburri
spchon1,Méliphage à bavette
pebfin1,Bec-en-cheville gris
lesred1,Sizerin cabaret
comred,Sizerin flammé
hoared,Sizerin blanchâtre
riflem1,Xénique grimpeur
inltho1,Acanthize troglodyte
yertho1,Acanthize à croupion jaune
tastho1,Acanthize de Tasmanie
westho1,Acanthize sobre
strtho1,Acanthize ridé
yeltho1,Acanthize nain
brotho1,Acanthize mignon
burtho1,Acanthize à croupion beige
chrtho1,Acanthize à croupion roux
wesspi1,Méliphage festonné
easspi1,Méliphage à bec grêle
shikra1,Épervier shikra
bichaw1,Épervier bicolore
colspa1,Épervier à collier roux
coohaw,Épervier de Cooper
brogos1,Autour australien
norgos,Autour des palombes
japspa1,Épervier du Japon
vargos1,Autour variable
blagos1,Autour noir
litspa1,Épervier minule
eurspa1,Épervier d'Europe
grygos1,Autour blanc
gybhaw1,Autour à ventre gris
grfhaw1,Épervier de Horsfield
shshaw,Épervier brun
tinhaw1,Tiny Hawk
afrgos1,Autour tachiro
sptgos1,Épervier à queue tachetée
cregos1,Autour huppé
besra1,Épervier besra
runhor1,Calao à cou roux
damroc1,Achétopse à flancs roux
vibsta3,Martin birman
cremyn,Martin huppé
junmyn1,Martin forestier
banmyn1,Martin des berges
whvmyn1,Grand Martin
whvmyn,Martin de Java
commyn,Martin triste
t-11145339,Northern Cricket Frog
t-11164140,Southern Cricket Frog
pilgra1,Synallaxe à pattes roses
padwar1,Rousserolle isabelle
grrwar1,Rousserolle turdoïde
aurwar1,Rousserolle d'Australie
afrwar1,African Reed Warbler
bbrwar1,Rousserolle de Schrenck
blwwar1,Rousserolle de Swinhoe
blrwar1,Rousserolle des buissons
leswar1,Rousserolle à bec fin
barwar2,Rousserolle d'Irak
mouwar1,Lusciniole à moustaches
maswar1,Rousserolle de Newton
orrwar1,Rousserolle d'Orient
aquwar1,Phragmite aquatique
marwar3,Rousserolle verderolle
grswar2,Rousserolle des cannes
sedwar1,Phragmite des joncs
