rufwar1,Rufous-faced Warbler
blfwar1,Black-faced Warbler
yebwar1,Yellow-bellied Warbler
watgua1,Wattled Guan
spchon1,Spiny-cheeked Honeyeater
pebfin1,Peg-billed Finch
lesred1,Organetto minore
comred,Organetto
hoared,Hoary Redpoll
riflem1,Rifleman
inltho1,Inland Thornbill
yertho1,Yellow-rumped Thornbill
tastho1,Tasmanian Thornbill
westho1,Western Thornbill
strtho1,Striated Thornbill
yeltho1,Yellow Thornbill
brotho1,Brown Thornbill
burtho1,Buff-rumped Thornbill
chrtho1,Chestnut-rumped Thornbill
wesspi1,Western Spinebill
easspi1,Eastern Spinebill
shikra1,Shikra
bichaw1,Bicolored Hawk
colspa1,Collared Sparrowhawk
coohaw,Cooper's Hawk
brogos1,Brown Goshawk
norgos,Astore
japspa1,Japanese Sparrowhawk
vargos1,Variable Goshawk
blagos1,Black Goshawk
litspa1,Little Sparrowhawk
eurspa1,Sparviere
grygos1,Gray Goshawk
gybhaw1,Gray-bellied Hawk
grfhaw1,Chinese Sparrowhawk
shshaw,Sharp-shinned Hawk
tinhaw1,Tiny Hawk
afrgos1,African Goshawk
sptgos1,Spot-tailed Goshawk
cregos1,Crested Goshawk
besra1,Besra
runhor1,Rufous-necked Hornbill
damroc1,Rockrunner
vibsta3,Burmese Myna
cremyn,Crested Myna
junmyn1,Jungle Myna
banmyn1,Bank Myna
whvmyn1,Great Myna
whvmyn,Javan Myna
commyn,Common Myna
t-11145339,Northern Cricket Frog
t-11164140,Southern Cricket Frog
pilgra1,Pink-legged Graveteiro
padwar1,Cannaiola di Jerdon
grrwar1,Cannareccione
aurwar1,Australian Reed Warbler
afrwar1,African Reed Warbler
bbrwar1,Black-browed Reed Warbler
blwwar1,Blunt-winged Warbler
blrwar1,Cannaiola di Blyth
leswar1,Lesser Swamp Warbler
barwar2,Basra Reed Warbler
mouwar1,Forapaglie castagnolo
maswar1,Madagascar Swamp Warbler
orrwar1,Oriental Reed Warbler
aquwar1,Pagliarolo
marwar3,Cannaiola verdognola
grswar2,Greater Swamp Warbler
sedwar1,Forapaglie comune
eurwar1,Cannaiola comune
clrwar1,Clamorous Reed Warbler
manrew1,Manchurian Reed Warbler
ocetap1,Ocellated Tapaculo
ruckin1,Rufous-collared Kingfisher
spokin1,Spotted Kingfisher
grbkin1,Green-backed Kingfisher
blwmin1,Blue-winged Minla
rufbar1,Rusty-fronted Barwing
hotbar1,Hoary-throated Barwing
spebar1,Spectacled Barwing
chtmin1,Chestnut-tailed Minla
sttbar1,Streak-throated Barwing
comsan,Piro piro piccolo
sposan,Piro piro macchiato
afrjac1,African Jacana
spehum1,Speckled Hummingbird
clagre,Clark's Grebe
wesgre,Western Grebe
lottit1,Codibugnolo
blttit2,Black-throated Tit
lottit5,Silver-throated Tit
bkbtit3,Black-browed Tit
whttit1,White-throated Tit
whtior1,White-tailed Iora
comior1,Common Iora
greior2,Green Iora
nswowl,Northern Saw-whet Owl
borowl,Civetta capogrosso
bufowl1,Buff-fronted Owl
uswowl1,Unspotted Saw-whet Owl
auonig1,Australian Owlet-nightjar
cinvul1,Avvoltoio monaco
marswi,Mariana Swiftlet
ednswi1,White-nest Swiftlet
blnswi1,Black-nest Swiftlet
andswi1,Andean Swift
whtswi1,White-tipped Swift
whtswi,White-throated Swift
leaauk,Least Auklet
whiauk,Whiskered Auklet
fotsun1,Fork-tailed Sunbird
gousun1,Mrs. Gould's Sunbird
fitsun1,Fire-tailed Sunbird
grtsun1,Green-tailed Sunbird
bltsun1,Black-throated Sunbird
eacsun1,Crimson Sunbird
temsun1,Temminck's Sunbird
wecsun1,Vigors's Sunbird
gyhlov1,Gray-headed Lovebird
fislov1,Fischer's Lovebird
yeclov,Yellow-collared Lovebird
peflov,Rosy-faced Lovebird
blwlov1,Black-winged Lovebird
