rufwar1,Roodwangboszanger
blfwar1,Zwartmaskerboszanger
yebwar1,Bamboeboszanger
watgua1,Lelgoean
spchon1,Goudkeelhoningeter
pebfin1,Wigsnavelgors
lesred1,Kleine Barmsijs
comred,Grote Barmsijs
hoared,Witstuitbarmsijs
riflem1,Geweervogel
inltho1,Roodstuitdoornsnavel
yertho1,Geelstuitdoornsnavel
tastho1,Tasmaanse Doornsnavel
westho1,Kaap-Leeuwindoornsnavel
strtho1,Twijgdoornsnavel
yeltho1,Gele Doornsnavel
brotho1,Bruine Doornsnavel
burtho1,Vaalstuitdoornsnavel
chrtho1,Roodstaartdoornsnavel
wesspi1,Roesthalshoningvogel
easspi1,Zwarthalshoningvogel
shikra1,Shikra
bichaw1,Roodbroeksperwer
colspa1,Grijskopsperwer
coohaw,Coopers Sperwer
brogos1,Australische Havik
norgos,Havik
japspa1,Kleine Sperwer
vargos1,Grijs-rode Havik
blagos1,Zwarte Havik
litspa1,Oost-Afrikaanse Dwergsperwer
eurspa1,Sperwer
grygos1,Grijze Havik
gybhaw1,Zuid-Amerikaanse Havik
grfhaw1,Chinese Sperwer
shshaw,Amerikaanse Sperwer
tinhaw1,Tiny Hawk
afrgos1,Afrikaanse Havik
sptgos1,Vlekstaartsperwer
cregos1,Kuifhavik
besra1,Besrasperwer
runhor1,Himalayajaarvogel
damroc1,Roodstuitrotszanger
vibsta3,Burmese Myna
cremyn,Kuifmaina
junmyn1,Junglemaina
banmyn1,Oevermaina
whvmyn1,Grote Maina
whvmyn,Javaanse Maina
commyn,Treurmaina
t-11145339,Northern Cricket Frog
t-11164140,Southern Cricket Frog
pilgra1,Acrobaatje
padwar1,Veldrietzanger
grrwar1,Grote Karekiet
aurwar1,Australische Karekiet
afrwar1,African Reed Warbler
bbrwar1,Zwartbrauwrietzanger
blwwar1,Indische Veldrietzanger
blrwar1,Struikrietzanger
leswar1,Kaapse Rietzanger
barwar2,Basrakarekiet
mouwar1,Zwartkoprietzanger
maswar1,Madagaskarrietzanger
orrwar1,Chinese Karekiet
aquwar1,Waterrietzanger
marwar3,Bosrietzanger
grswar2,Papyrusrietzanger
sedwar1,Rietzanger
eurwar1,Kleine Karekiet
clrwar1,Indische Karekiet
manrew1,Mantsjoerijse Veldrietzanger
ocetap1,Zilverpareltapaculo
ruckin1,Maleise Bosijsvogel
spokin1,Luzonbosijsvogel
grbkin1,Blauwkopbosijsvogel
blwmin1,Blauwvleugelminla
rufbar1,Grijskopstreepvleugel
hotbar1,Nepalese Streepvleugel
spebar1,Brilstreepvleugel
chtmin1,Ornaatminla
sttbar1,Yunnanstreepvleugel
comsan,Oeverloper
sposan,Amerikaanse Oeverloper
afrjac1,Lelieloper
spehum1,Zwartoorkolibrie
clagre,Clarks Fuut
wesgre,Zwanenhalsfuut
lottit1,Staartmees
blttit2,Roodkruinstaartmees
lottit5,Zilverkeelstaartmees
bkbtit3,Bruinborststaartmees
whttit1,Witkeelstaartmees
whtior1,Zwartkapiora
comior1,Gewone Iora
greior2,Groene Iora
nswowl,Zaaguil
borowl,Ruigpootuil
bufowl1,Harris' Zaaguil
uswowl1,Ridgways Zaaguil
