rufwar1,skrytoczub rdzawolicy
blfwar1,skrytoczub ciemnolicy
yebwar1,skrytoczub białobrewy
watgua1,grdacz soplowaty
spchon1,kolcoliczek
pebfin1,bambusozięb ostrodzioby
lesred1,czeczotka brązowa
comred,czeczotka
hoared,czeczotka tundrowa
riflem1,barglik
inltho1,buszówka szerokosterna
yertho1,buszówka żółtorzytna
tastho1,buszówka rdzawoczelna
westho1,buszówka uboga
strtho1,buszówka kreskowana
yeltho1,buszówka żółtobrzucha
brotho1,buszówka brązowa
burtho1,buszówka zmienna
chrtho1,buszówka rudorzytna
wesspi1,miodopijek rdzawoszyi
easspi1,miodopijek długodzioby
shikra1,krogulec mały
bichaw1,krogulec dwubarwny
colspa1,krogulec obrożny
coohaw,krogulec czarnołbisty
brogos1,krogulec brunatny
norgos,jastrząb
japspa1,krogulec japoński
vargos1,krogulec rdzawobrzuchy
blagos1,jastrząb czarno-biały
litspa1,krogulec skromny
eurspa1,krogulec
grygos1,krogulec australijski
gybhaw1,krogulec siwobrzuchy
grfhaw1,krogulec chiński
shshaw,krogulec zmienny
tinhaw1,Tiny Hawk
afrgos1,krogulec trzypręgowy
sptgos1,krogulec plamosterny
cregos1,krogulec czubaty
besra1,krogulec orientalny
runhor1,dzioborożec rudy
damroc1,skalnik
vibsta3,majna birmańska
cremyn,majna czubata
junmyn1,majna szara
banmyn1,majna norowa
whvmyn1,majna żałobna
whvmyn,majna jawajska
commyn,majna brunatna
t-11145339,Northern Cricket Frog
t-11164140,Southern Cricket Frog
pilgra1,koralonóżek
padwar1,trzcinniczek kaspijski
grrwar1,trzciniak
aurwar1,trzciniak australijski
afrwar1,African Reed Warbler
bbrwar1,trzcinniczek szerokobrewy
blwwar1,trzcinniczek krótkoskrzydły
blrwar1,zaroślówka
leswar1,trzciniak jasnobrewy
barwar2,trzciniak perski
mouwar1,tamaryszka
maswar1,trzciniak madagaskarski
orrwar1,trzciniak wschodni
aquwar1,wodniczka
marwar3,łozówka
grswar2,trzciniak papirusowy
sedwar1,rokitniczka
eurwar1,trzcinniczek
clrwar1,trzciniak głośny
manrew1,trzcinniczek mandżurski
ocetap1,szponniczek
ruckin1,krasnogłów sundajski
spokin1,krasnogłów plamisty
grbkin1,krasnogłów białogardły
blwmin1,prążkopiór modroskrzydły
rufbar1,prążkopiór rdzawoczelny
hotbar1,prążkopiór nepalski
spebar1,prążkopiór okularowy
chtmin1,prążkopiór rudogłowy
sttbar1,prążkopiór birmański
comsan,brodziec piskliwy
sposan,brodziec plamisty
afrjac1,długoszpon afrykański
spehum1,płowik
clagre,perkoz żółtodzioby
wesgre,perkoz wielki
lottit1,raniuszek
blttit2,raniuszek czarnogardły
lottit5,raniuszek czarnołbisty
bkbtit3,raniuszek rdzawy
whttit1,raniuszek białogardły
whtior1,paskownik białosterny
comior1,paskownik zmienny
greior2,paskownik zielony
nswowl,włochatka mała
borowl,włochatka
bufowl1,włochatka obrożna
uswowl1,włochatka białolica
auonig1,sownik australijski
cinvul1,sęp kasztanowaty
marswi,salangana mariańska
ednswi1,salangana sundajska
blnswi1,salangana czarnogniazdowa
andswi1,aeronauta andyjski
whtswi1,aeronauta białoplamy
whtswi,aeronauta białogardły
leaauk,nurniczek malutki
whiauk,nurniczek wąsaty
fotsun1,kwiatownik widłosterny
gousun1,kwiatownik ozdobny
fitsun1,kwiatownik ognistosterny
grtsun1,kwiatownik zielonosterny
bltsun1,kwiatownik niebieskosterny
eacsun1,kwiatownik szkarłatny
temsun1,kwiatownik czerwony
wecsun1,kwiatownik indyjski
gyhlov1,nierozłączka siwogłowa
fislov1,nierozłączka rudogłowa
yeclov,nierozłączka czarnogłowa
peflov,nierozłączka czerwonoczelna
blwlov1,nierozłączka czarnoskrzydła
bawcow4,szarokacyk
rewbla,epoletnik krasnoskrzydły
tribla,epoletnik trójbarwny
unibla2,ciemnokacyk jednobarwny
yewbla2,ciemnokacyk żółtoskrzydły
paebla2,ciemnokacyk czarny
vitsyl1,komecik fioletowosterny
lotsyl1,komecik długosterny
bkbsht1,dzierzbotyran czarnodzioby
chcsta1,szpak rdzawolicy
dausta1,szpak mandżurski
grecat1,miauczek zielony
spocat2,miauczek plamisty
oaxspa1,gajówek czarnodzioby
russpa1,gajówek rdzawy
rucspa,gajówek rdzawołbisty
manduc,mandarynka
wooduc,karolinka
goeant1,czarnomrowik czerwonooki
whsant1,czarnomrowik epoletowy
grhlar1,skowron pustynny
skylar,skowronek
orisky1,skowronek orientalny
lstlar2,skowrończyk mongolski
tstlar1,skowrończyk kaspijski
sanlar1,skowrończyk malutki
mstlar1,skowrończyk mały
sstlar1,skowrończyk rdzawy
razorb,alka
comkin1,zimorodek
blekin1,zimorodek granatowy
broful1,sikornik szaroboczny
gycful4,sikornik płowy
gycful5,sikornik szarogardły
gycful1,sikornik szarolicy
nepful1,sikornik nepalski
mouful1,sikornik czarnobrewy
brcful1,sikornik duży
javful1,sikornik rdzaworzytny
runwhi1,krasnogłowik
barpar2,góropatwa berberyjska
chukar,góropatwa azjatycka
rocpar2,góropatwa skalna
relpar1,góropatwa czerwona
ausbrt1,nogal brunatny
ficale2,szydlak rdzawołbisty
ficale3,szydlak białosterny
yefpar5,żółtogłówka
aukpar1,szkarłatka królewska
scbthr,łuskopiór ciemnodzioby
t-11840984,Allard's Ground Cricket
t-11843287,Tinkling Ground Cricket
t-11855914,Walker's Ground Cricket
finbul1,Finsch's Bulbul
whtbul1,szczeciak białogardły
ochbul2,szczeciak czubaty
putbul1,szczeciak płowy
yebbul2,szczeciak żółtobrzuchy
gycbul2,szczeciak szarolicy
tahswa2,jaskółeczka rudogłowa
egygoo,gęsiówka egipska
t-11062401,Mexican Black Howler Monkey
legrob1,piechotek mały
