rufwar1,Рыжещёкая комарница
blfwar1,Чернолицая комарница
yebwar1,Желтобрюхая комарница
watgua1,Серёжчатый гуан
spchon1,Розовоклювый серёжкоух
pebfin1,Остроклювый овсяночник
lesred1,Малая чечётка
comred,Обыкновенная чечётка
hoared,Пепельная чечётка
riflem1,Зелёный стрелок
inltho1,Пестрогрудая шипоклювка
yertho1,Желтопоясничная шипоклювка
tastho1,Тасманийская шипоклювка
westho1,Лесная шипоклювка
strtho1,Пёстрая шилоклювка
yeltho1,Жёлтая шипоклювка
brotho1,Малая шипоклювка
burtho1,Корольковая шипоклювка
chrtho1,Рыжепоясничная шипоклювка
wesspi1,Западная титиара
easspi1,Восточная титиара
shikra1,Тювик
bichaw1,Двуцветный ястреб
colspa1,Ошейниковый перепелятник
coohaw,Куперов ястреб
brogos1,Бурый ястреб
norgos,Тетеревятник
japspa1,Малый перепелятник
vargos1,Изменчивый ястреб
blagos1,Чёрно-белый ястреб
litspa1,Африканский перепелятник
eurspa1,Перепелятник
grygos1,Светлый ястреб
gybhaw1,Серобрюхий ястреб
grfhaw1,Китайский тювик
shshaw,Американский перепелятник
tinhaw1,Tiny Hawk
afrgos1,Африканский ястреб
sptgos1,Пятнистохвостый перепелятник
cregos1,Хохлатый ястреб
besra1,Индийский перепелятник
runhor1,Непальский калао
damroc1,Дамарский скалолаз
vibsta3,Burmese Myna
cremyn,Хохлатая майна
junmyn1,Джунглевая майна
banmyn1,Береговая майна
whvmyn1,Чубатая майна
whvmyn,Яванская майна
commyn,Майна
t-11145339,Northern Cricket Frog
t-11164140,Southern Cricket Frog
pilgra1,Гравитейро
padwar1,Индийская камышевка
grrwar1,Дроздовидная камышевка
aurwar1,Австралийская камышовка
afrwar1,African Reed Warbler
bbrwar1,Пестроголовая камышевка
blwwar1,Кустарниковая камышовка
blrwar1,Садовая камышевка
leswar1,Капская камышовка
barwar2,Евфратская камышовка
mouwar1,Тонкоклювая камышевка
maswar1,Мадагаскарская камышовка
orrwar1,Восточная дроздовидная камышевка
aquwar1,Вертлявая камышевка
marwar3,Болотная камышевка
grswar2,Папирусовая камышовка
sedwar1,Камышевка-барсучок
eurwar1,Тростниковая камышевка
clrwar1,Южная дроздовидная камышевка
manrew1,Маньчжурская камышевка
ocetap1,Глазчатый тапакуло
ruckin1,Малайский зимородок
spokin1,Пестрогрудый зимородок
grbkin1,Синеголовый зимородок
blwmin1,Синекрылый шива
rufbar1,Рыжелобый пестрокрыл
hotbar1,Непальский пестрокрыл
spebar1,Очковый пестрокрыл
chtmin1,Рыжекрылый шива
sttbar1,Юньнаньский пестрокрыл
comsan,Перевозчик
sposan,Пятнистый перевозчик
afrjac1,Африканская якана
spehum1,Черноухий колибри
clagre,Желтоклювая поганка
wesgre,Западная поганка
lottit1,Ополовник
blttit2,Черногорлый ополовник
lottit5,Серогорлый ополовник
bkbtit3,Рыжий ополовник
whttit1,Белогорлый ополовник
whtior1,Черношапочная йора
comior1,Пестрокрылая йора
greior2,Зелёная йора
nswowl,Североамериканский сыч
borowl,Мохноногий сыч
bufowl1,Масковый сыч
uswowl1,Светлобрюхий сыч
auonig1,Австралийский совиный козодой
cinvul1,Чёрный гриф
marswi,Гуамская салангана
ednswi1,Салангана-водорослеед
blnswi1,Большая салангана
andswi1,Андский стриж
whtswi1,Горный стриж
whtswi,Белобокий стриж
leaauk,Конюга-крошка
whiauk,Малая конюга
fotsun1,Вилохвостая нектарница
gousun1,Гульдова нектарница
fitsun1,Огненнохвостая нектарница
grtsun1,Гималайская нектарница
bltsun1,Траурная нектарница
eacsun1,Рубиновая нектарница
temsun1,Краснохвостая нектарница
wecsun1,Малабарская нектарница
gyhlov1,Сероголовый неразлучник
fislov1,Неразлучник Фишера
yeclov,Масковый неразлучник
peflov,Розовощёкий неразлучник
blwlov1,Чернокрылый неразлучник
bawcow4,Бурокрылый курен
rewbla,Красноплечий трупиал
tribla,Трёхцветный трупиал
unibla2,Одноцветный курен
yewbla2,Золотистоплечий курен
paebla2,Желтоглазый курен
vitsyl1,Фиолетовохвостый сильф
lotsyl1,Небесный сильф
bkbsht1,Горный гаучо
chcsta1,Японский скворец
dausta1,Малый скворец
grecat1,Зелёная птица-кошка
spocat2,Крапчатая птица-кошка
oaxspa1,Оахакская овсянка
russpa1,Рыжеспинная овсянка
rucspa,Рыжешапочная овсянка
manduc,Мандаринка
wooduc,Каролинская утка
