rufwar1,rufwar1
blfwar1,blfwar1
yebwar1,yebwar1
watgua1,watgua1
spchon1,spchon1
pebfin1,pebfin1
lesred1,lesred1
comred,comred
hoared,hoared
riflem1,riflem1
inltho1,inltho1
yertho1,yertho1
tastho1,tastho1
westho1,westho1
strtho1,strtho1
yeltho1,yeltho1
brotho1,brotho1
burtho1,burtho1
chrtho1,chrtho1
wesspi1,wesspi1
easspi1,easspi1
shikra1,shikra1
bichaw1,bichaw1
colspa1,colspa1
coohaw,coohaw
brogos1,brogos1
norgos,norgos
japspa1,japspa1
vargos1,vargos1
blagos1,blagos1
litspa1,litspa1
eurspa1,eurspa1
grygos1,grygos1
gybhaw1,gybhaw1
grfhaw1,grfhaw1
shshaw,shshaw
tinhaw1,tinhaw1
afrgos1,afrgos1
sptgos1,sptgos1
cregos1,cregos1
besra1,besra1
runhor1,runhor1
damroc1,damroc1
vibsta3,vibsta3
cremyn,cremyn
junmyn1,junmyn1
banmyn1,banmyn1
whvmyn1,whvmyn1
whvmyn,whvmyn
commyn,commyn
pilgra1,pilgra1
padwar1,padwar1
grrwar1,grrwar1
aurwar1,aurwar1
afrwar1,afrwar1
bbrwar1,bbrwar1
blwwar1,blwwar1
blrwar1,blrwar1
leswar1,leswar1
barwar2,barwar2
mouwar1,mouwar1
maswar1,maswar1
orrwar1,orrwar1
aquwar1,aquwar1
marwar3,marwar3
grswar2,grswar2
sedwar1,sedwar1
eurwar1,eurwar1
clrwar1,clrwar1
manrew1,manrew1
ocetap1,ocetap1
ruckin1,ruckin1
spokin1,spokin1
grbkin1,grbkin1
blwmin1,blwmin1
rufbar1,rufbar1
hotbar1,hotbar1
spebar1,spebar1
chtmin1,chtmin1
sttbar1,sttbar1
comsan,comsan
sposan,sposan
afrjac1,afrjac1
spehum1,spehum1
clagre,clagre
wesgre,wesgre
lottit1,lottit1
blttit2,blttit2
lottit5,lottit5
bkbtit3,bkbtit3
whttit1,whttit1
whtior1,whtior1
comior1,comior1
greior2,greior2
nswowl,nswowl
borowl,borowl
bufowl1,bufowl1
uswowl1,uswowl1
auonig1,auonig1
cinvul1,cinvul1
marswi,marswi
ednswi1,ednswi1
blnswi1,blnswi1
andswi1,andswi1
whtswi1,whtswi1
whtswi,whtswi
leaauk,leaauk
whiauk,whiauk
fotsun1,fotsun1
gousun1,gousun1
fitsun1,fitsun1
grtsun1,grtsun1
bltsun1,bltsun1
eacsun1,eacsun1
temsun1,temsun1
wecsun1,wecsun1
gyhlov1,gyhlov1
fislov1,fislov1
yeclov,yeclov
peflov,peflov
blwlov1,blwlov1
bawcow4,bawcow4
rewbla,rewbla
tribla,tribla
unibla2,unibla2
yewbla2,yewbla2
paebla2,paebla2
vitsyl1,vitsyl1
lotsyl1,lotsyl1
bkbsht1,bkbsht1
chcsta1,chcsta1
dausta1,dausta1
grecat1,grecat1
spocat2,spocat2
oaxspa1,oaxspa1
russpa1,russpa1
rucspa,rucspa
manduc,manduc
wooduc,wooduc
goeant1,goeant1
whsant1,whsant1
grhlar1,grhlar1
skylar,skylar
orisky1,orisky1
lstlar2,lstlar2
tstlar1,tstlar1
sanlar1,sanlar1
mstlar1,mstlar1
sstlar1,sstlar1
razorb,razorb
comkin1,comkin1
blekin1,blekin1
broful1,broful1
gycful4,gycful4
gycful5,gycful5
gycful1,gycful1
nepful1,nepful1
mouful1,mouful1
brcful1,brcful1
javful1,javful1
runwhi1,runwhi1
barpar2,barpar2
chukar,chukar
rocpar2,rocpar2
relpar1,relpar1
ausbrt1,ausbrt1
ficale2,ficale2
ficale3,ficale3
yefpar5,yefpar5
aukpar1,aukpar1
scbthr,scbthr
finbul1,finbul1
whtbul1,whtbul1
ochbul2,ochbul2
putbul1,putbul1
yebbul2,yebbul2
gycbul2,gycbul2
tahswa2,tahswa2
egygoo,egygoo
